similarity;Level 01 Result;Level 02 Result;Level 03 Result;Level 04 Result;Level 05 Result
3.5;2.25;3.25;3.5;3.25;2.5
3.25;3.25;3.5;3.5;3.5;3.25
3;3.25;3.25;3;3;2.5
4.25;3.25;3.5;3.25;3.25;3.5
2.25;2.25;3.25;3.75;2;2.75
2.5;2.25;3.5;3;3.5;2.75
2.75;3.25;3.5;3.75;3.5;3.75
4;3.75;3.25;3.75;3.5;3.5
4.25;3.75;3.75;3.75;4.25;3.75
3;3.25;3.25;3.5;3.25;3.75
4.5;3.75;3.5;2.75;3.5;3.5
3;2.25;2.5;2.75;2.25;2
3.25;2.25;3.25;2.25;3.25;3.25
1.25;2.25;2;2.5;3.25;2
3.25;3.25;3.75;3.75;3;3.75
2.5;3.25;2.25;3;2.25;3
4;3.25;2;3.5;3.25;2.75
2.75;2.5;2.25;3.5;3.25;2.25
2.5;2.25;2;3.75;3.75;1.5
2.75;3.25;3;2.5;3.5;3.25
4;3.75;3;3.75;3.5;3.5
2.25;2.25;2.25;3.25;2;2.25
3.5;3.75;3.75;3.75;3.25;3.75
4;3.25;3.75;3.5;3.75;3.25
4;3.25;3.25;3.25;3.5;3.5
3.25;2.25;3.25;3;2.5;3.25
2.5;3.25;3.75;2.75;3.25;3.5
3;3.25;3.25;1.5;3.25;3
4;3.5;2.5;3.5;3.5;3.25
2.75;3.25;3;3.25;3.5;2.25
2;2.5;2.25;3;2.25;3
4;3.25;3.5;3.25;3.5;3.5
3;3.25;3.5;3.75;3.25;3.25
2.75;2.25;3.25;3.25;3.25;2.5
2.75;2.25;2.75;2;3;2.5
4.25;3.5;3.25;3.75;3.5;2
3.5;3.75;3;3.75;3.5;3.5
2.75;3.25;2.75;3;3.5;2.75
4;3.25;3.75;3.5;3.25;3.5
3.5;3.25;3;3.75;3.25;3.75
3.75;3.25;2.25;3.5;3;3.25
1.75;3.25;3.5;3;3.25;3.25
3.75;3.25;3.5;3.5;3.25;3.25
4.25;3.75;3.25;3.5;3.75;3.75
2;3.25;3;3.25;2.75;2.75
2.25;3.25;3.25;3;3.25;3.25
4;3.5;3.5;3.75;3.5;3.25
2.5;3.25;3.5;3.75;3.25;3
2.75;3.25;3.25;3;3.25;2.75
2;2.25;3.5;3.5;3;2.5
4;3.75;3.25;3.75;3.75;3.75
3;3.25;3.25;3.25;2.25;3.25
2;3.25;3.25;3.25;3.5;3.5
2.25;3.25;3.25;3.25;3.25;3.5
3.75;3.75;3.5;3.5;3.75;3.5
3;3.25;3.25;3;3.5;3.25
1;2.25;3.25;3.25;1.25;3.5
1.5;2.5;3.25;3.5;2;2.5
3.75;3.75;3.5;3.75;3.5;3.75
2.75;2.25;3.25;3.25;2.5;2.25
4;3.75;3.75;3.25;3.5;3.75
3.25;3.25;3.75;3.75;3.5;3.25
4;3.75;3.75;3.75;3.5;3.75
2.75;3.25;1.5;3;3.25;2.25
3;3.25;3.5;2.75;3.25;3.5
3;3.25;2.25;3.5;3.75;3.5
4;3.75;3.25;3.75;3.75;3.25
3.25;3.25;2.25;3;3;3.5
3;3.25;3;3;3.25;3.25
2.75;3.25;3;3.5;3.5;4.25
1.25;3.25;3.5;2.25;2.75;2.5
3.75;3.25;3.75;3.5;3.5;3.5
2.5;3.25;3.25;2.5;3.25;3.25
2.5;3.25;3.5;3.25;3.25;3.25
2.25;3.25;2.5;3.25;3.25;3
2.75;3.25;3.75;3.25;3.5;3.5
3;3.25;2;3.5;3.25;3.5
2.5;3.25;2.5;3.5;3.25;3
2.75;3.25;3.25;3.5;3.25;3.5
3.5;3.25;3.25;3.75;3;3.5
4;3.25;3.25;3.75;3.5;3.5
4;3.75;3.75;3.5;3.5;3.5
2.5;2.5;3.25;3.25;3.25;2
3.5;3.25;3.25;3.25;3.75;3.5
3;2.5;1.25;3.25;2.25;2
2.5;2.5;3;3;3.25;3.25
2;3.25;3.25;3.25;2.25;2.25
1.75;3.25;3;2.5;3.5;3
2.25;3.25;2.25;3.25;3.5;3.25
3.75;3.75;3.75;3.5;3.25;3.5
1.5;2.25;2.25;2.5;2;2.25
4;3.25;3.5;3;3.25;3.75
2;2.5;2.25;3.5;3.25;2
3.25;3.25;2.5;3.5;2.5;3
4;3.25;3.25;3.75;3.25;3.5
3.25;3.25;3.5;3.5;3.25;2.75
2.75;3.25;3;3;3;3
2.75;3.25;3.25;3.25;2.5;3.25
2.75;3.75;3.75;3.25;2.5;2.75
2.5;2.25;2;3.25;3;3
2.75;3.25;3;3.5;3.5;2.75
2.75;3.25;3.25;3.25;3.5;3.75
3.5;3.75;3.25;3.5;3.25;2.5
3.5;3.25;3.5;3.25;3.5;3.5
4.25;3.5;3.75;3.5;3.75;3.5
4.25;3.75;3.25;3.5;3.5;3.5
4.25;3.75;3.25;3.75;3.5;3.5
2.5;3.25;3.75;3.25;3.25;3.5
2.5;2.25;3.25;3.25;3.5;3.25
3;3.25;3.75;3.25;3.5;3.75
2.5;3.25;2.25;3;3.25;3.25
3;3.75;3.5;3.75;3.5;3.75
2;2.25;2;3.75;2;2.5
2.25;3.25;3.25;3.75;3.5;3.5
3;2.25;3.5;3.25;3.25;3.25
2.75;3.25;3.25;3.5;2.25;2.25
3.25;2.5;3.25;2.75;2.25;2.75
2.5;2.25;3.25;3.5;2.5;2
3.5;3.25;3.5;3.5;3.25;2.75
3;3.75;2.75;3.25;3.25;3.75
3.75;3.25;3.75;3.25;3.25;2.5
2;2.25;3.25;3.5;3.5;2.75
4;3.75;3.75;3.75;3.5;3.5
2.5;2.5;3;3.5;3;3.25
5;3.75;3.75;3.75;3.5;3.5
3.5;3.25;3;3.25;3.5;3.75
3;2.25;2.75;3;2.5;2.5
4;3.25;3.5;3.25;3.25;3
3.75;3.25;3.5;3.25;3.75;3.5
3;3.25;3.5;2.75;3.5;3.5
4;3.75;3.75;3.75;3.75;3.75
2.5;2.25;2.25;2.25;2;2.75
3.25;3.25;2.75;3.5;3.5;2.5
2.75;3.25;3.25;2.25;3.25;3.25
2.75;3.25;3.25;3.25;3.25;3.25
2;3.75;3.75;3.5;3.5;3.25
3.75;3.25;2.25;3.5;3.5;3.25
1.25;2.25;2;3.25;2.25;3.25
2.75;3.25;3.75;3.5;3.25;3.25
3.5;3.25;3.25;3.25;3.25;3.75
2.5;3.25;3.25;3.25;3.25;3.25
4.25;3.75;3.25;3.75;3.5;3.5
2.5;2.25;2;2;2.25;3.25
2.5;3.25;3.25;3.25;3.25;3.5
2.75;2.75;3.5;3;3.5;3.5
2.5;3.25;3.25;3.5;3;2.5
1.5;2.5;3.25;3.25;3.25;2.5
3.5;3.25;3;3;3.25;3
2.25;3.25;3.25;3.5;3.5;2.5
4.25;3.75;3.75;3.5;3.75;3.5
2.25;3.25;3.25;3.25;3;3.25
1.75;2.5;3.5;3;2;2.75
2.75;3.25;3;3.25;3.75;3.5
2.75;3.25;3.5;2.25;3.75;3.25
3;3.5;3.75;3.5;3.5;3.5
3.5;3.25;3.5;3.5;3;2
3.25;3.25;3.5;3.25;3.25;2.75
2;3.25;3.25;3.25;3.75;3.25
4.75;3.75;2.75;3.5;3.5;2.75
4.25;3.25;4;3.75;3.5;3.75
4;3.5;3.75;3.5;3.5;3.5
2.75;3.25;3.5;3.5;3.75;3.25
3.25;3.75;3.5;3.5;3.25;3.25
1.25;2.25;2.5;2;1.25;1
2;3.25;3.25;3.25;3;3
2.75;3.25;3.25;2.75;3;2.5
4.75;3.75;3.75;3.75;3.5;3.75
2.25;3.25;3.5;3.25;2.25;3.25
4;3.25;3.5;3.75;3.25;3.25
5;3.75;3.5;3.25;3.25;3.75
2.5;2.5;3.5;3.25;3.25;3.75
1.75;3.25;3.75;3;3.25;3.25
1.25;3.25;3.5;3.25;3.5;2.75
2.25;2.25;3.25;3;3.25;2.25
1.5;2.25;2;1.25;3.25;3.25
4;3.25;3.75;3.5;3.25;3.75
4;3.25;3.25;2.75;3.25;2
3.75;3.25;3.25;3.25;3.5;3.75
3.25;2.25;2;3.25;3.25;3.25
2.5;3.75;2.75;3.5;3.5;3.5
2.25;2.5;3.25;3;2.25;3.25
5;3.75;3.5;3.75;3.5;3
3.75;3.25;3.5;3.25;3.75;3.25
2.25;2.75;3.25;3.25;2.25;2.5
3.75;3.25;3.25;3.25;3.25;2.25
3;3.25;3.5;3.25;3.75;3.25
2.5;3.25;3.25;3.5;3.5;2.25
4;3.25;3.25;3.75;3.25;3.75
2.75;2.5;3.25;3.25;2.75;3.25
2.75;3.25;2;3.5;3.25;3.25
4.5;3.75;3.25;3.5;3.25;3.5
3.25;3.5;3.25;3.25;3.5;3.25
4.25;3.75;3.5;3.75;3.75;3.5
2.25;3.25;3.5;3.25;3.5;3.5
3.5;3.25;3.75;3.75;3;3.5
3;3.25;3.25;3.5;3.25;2.75
3.75;3.75;3.75;3.5;3.5;2.75
4.25;3.75;3.5;3.5;3.75;3.75
3.5;3.25;3.5;3.25;2.5;2.25
2.25;2.5;3.25;3.5;3.75;3.25
4;3.25;3.25;3.75;3.25;3.5
1.75;2.25;2;3;2.25;2.75
3.5;3.5;2.75;3.25;3.75;3.25
1;2.25;1.25;2.5;3.25;3.75
2;3.25;2.5;3.5;3.25;2.25
1.75;2.25;3.5;3.25;3.25;3.5
3.75;3.25;3.5;3.5;3.25;3.5
2;2.25;1.25;2.25;2.25;3.75
3.75;3.25;3.25;3.75;3.25;3.5
3.75;3.25;3.5;3.5;3.25;3.5
2;2.25;2.75;3.5;2.5;3.25
3.25;3.25;3;3.25;3;2.75
2.5;2.5;2.5;3.25;3.25;1.25
2.25;3.25;3.25;3.25;3.25;3
3.5;3.25;3.25;3;3;2.75
3.5;3.75;3.25;3.75;3.5;3.75
2;2.5;3.25;2;3.75;2.25
2.25;2.25;3.25;3;2.25;3
3.25;3.25;3.5;3;2.5;3.75
4;3.25;2;2.75;2.75;3.25
3.75;3.75;3.75;3.75;3.5;3
2.25;2.25;3.25;2;3.25;3
2;3.25;2.25;3.75;3;2
4;2.25;3.5;3.5;2.25;2.5
4.25;3.75;3.5;3.75;3.5;3.25
4;3.25;3.75;3.5;2.75;2.25
4;3.75;3.75;3.75;3.5;3.25
2.5;3.25;3.25;3.25;3.25;3.25
4;3.25;3.25;3.25;3.5;3.25
2.5;3.25;3.5;3;3.25;3.25
2.25;2.25;3.25;3.25;2.5;2
2.75;3.25;3.75;3.25;3;3.25
2.75;3.25;3.25;2.25;3.25;3.25
1;2.5;3.5;3;3.25;3.75
3.5;3.25;3.5;3.25;3.25;2.75
2.25;2.25;3.25;3.25;2.25;2.5
2.25;3.25;3.25;1.75;3.25;3
3;3.25;3.25;3.75;3.25;3.25
4;3.75;3.75;3.5;3.5;3.75
1.5;2.25;3.25;3.5;2;3.25
4;3.25;3.25;2.25;3.25;3.25
2.25;3.25;3.75;3.5;3.75;3.25
3.25;3.25;3.75;3.25;3.5;3.5
3.75;3.25;3.75;3.75;3.5;3.5
3.5;3.5;3;3.25;3.25;2.75
3.25;2.5;3.5;3.25;3.25;3.25
2.5;2.5;2.5;2.75;3;2.5
3.5;3.25;3.25;3.25;3.25;3
5;3.25;3.75;3.5;3.25;3.75
4;3.75;3.75;3;3.5;3.75
3.25;3.25;2.25;2.5;1.25;1.5
2.25;2.5;2.25;3.25;3;3.25
2.5;2.25;2.25;2.25;2.75;2
3.25;3.25;3.25;3.5;2.75;2.75
4;3.25;3.25;3.25;3.25;3.25
5;3.75;3.75;3.75;3.5;3.75
2.25;3.25;3.75;2.25;3.25;3.5
3;3.25;3.75;3.75;3.5;2.5
4;3.25;3.25;3;3.75;3.5
4;3.25;3.5;3.5;3.25;3.5
2.5;3.25;3;3.25;3.25;2.25
4.25;3.25;3.25;3.75;3.5;3.75
2.75;2.25;2.25;3;2;3
1.75;2.25;3.25;3;2.25;2.5
2.5;2.25;3.25;3;3.25;2.25
2.75;3.25;3.25;3.25;3;3.5
3.75;3.25;3.5;3.25;3;3.25
3;2.5;3.25;3.25;2.75;2.75
3.75;3.75;3.75;3.75;3.5;3.75
3.75;3.25;3;3.25;3.75;3.25
2.75;3.25;2.25;2.75;3.25;2.5
2.25;2.25;3.25;2.75;2.75;3.25
2.25;3.25;3;3;2.5;2.5
2.75;3.25;3;3;3.25;3.25
3.75;3.75;3.75;3.75;3.75;4
4.75;3.5;3.5;3.25;3.5;3.25
3.25;3.25;2.75;2.75;2.25;3.25
3.5;3.25;3.25;3.25;3.5;2.25
2;2.5;3.5;3;2.5;2
2.5;2.25;3;3;2;3.25
5;3.5;3.25;3.25;3.25;3.5
2.75;3.25;3.25;3.5;3.5;3.75
2.75;2.25;3.5;3.25;3.5;2.25
4.25;3.75;3.25;3.25;3.75;3.5
3.75;3.25;3.25;3.25;1.25;3.25
2.25;2.25;3.5;3;2;3.25
1.75;2.5;3;3;3;2.25
1.5;2.25;2.25;2.25;3;2.75
4;3.25;3.5;3.75;3.75;3.25
4;3.75;3.25;3.25;3.25;3.25
2.5;3.25;3;3.25;3.25;2.75
3;3.25;3.25;3.25;3;3.5
5;3.5;3.5;3.25;3.75;3.25
4;3.5;3.5;3.75;3.75;3.25
2.25;2.25;3.25;2;2;2.5
3.75;3.25;3.75;3.25;3.75;3.75
2.75;3.25;3;3.25;3.25;2.5
2.25;3.25;3.5;3;3.25;3.5
2.25;3.25;3.25;3.25;3.5;3
1.75;2.5;3.25;3.5;3.25;2.5
1;2.25;3.25;2;2;2.25
4;3.75;3.5;3.75;3.5;3.5
2.25;3.25;3.25;3.25;2.25;3.25
3.5;3.75;3.25;3.75;3.5;3.75
2;3.25;3.25;3.75;3.25;3.25
2.75;3.25;2.5;3.25;3.25;2.5
2;3.25;3.25;3;3.5;3.25
2.25;2.25;2;2.25;3;3.25
3.25;3.25;3;3;3.5;3.5
2;3.25;3.5;3.25;2.75;3.25
2.75;3.25;2;3.5;3.25;3.25
3.25;3.75;3.75;3.75;3.75;3.75
1.5;2.5;2.5;1.5;3;2.25
2.25;2.5;3.25;3.25;2.25;3.25
